id,user_id,name,position,rating,number,age,goals,image,image1,image2,created_at,updated_at
1,1,"Lionel Messi",CF,5,10,37,851,https://cdn.builder.io/api/v1/image/assets%2F6c19a84570cc4b7ebcefc63534859305%2Fdde248022a08ce177cea0ae2341e3eb74eb577bfa408c8d125ba1b93b21acd80,/messi1.png,/messi2.png,"2025-05-11 10:56:52.705 +00:00","2025-05-11 10:56:52.705 +00:00"
2,1,"Cristiano Ronaldo",ST,5,7,40,925,https://cdn.builder.io/api/v1/image/assets%2F6c19a84570cc4b7ebcefc63534859305%2F2a5b6f4961a76265d01cc3235fd2eefce7ce23c60d7194c0e7f5de5afe4aff42,/cristiano1.png,/cristiano2.png,"2025-05-11 10:56:52.705 +00:00","2025-05-11 10:56:52.705 +00:00"
3,1,"Jeffery Klein",CB,3.74888095039994,19,25,302,https://picsum.photos/seed/i9poJ/480/828,https://picsum.photos/seed/kNOxjC/2561/3439,https://picsum.photos/seed/s4mbV1g/3413/92,"2025-05-11 10:59:15.910 +00:00","2025-05-11 10:59:15.910 +00:00"
4,1,"Hannah Ebert",ST,3.14468432507976,73,20,65,https://picsum.photos/seed/wu17JtJ5q/147/2536,https://picsum.photos/seed/5qRElCN/1760/420,https://loremflickr.com/2988/3416?lock=6812700684658897,"2025-05-11 10:59:15.929 +00:00","2025-05-11 10:59:15.929 +00:00"
5,1,"Mr. Alton Balistreri",RB,2.69679540405518,14,31,91,https://picsum.photos/seed/s4SjlOTIra/2398/2480,https://picsum.photos/seed/mSJQ0S/924/1235,https://loremflickr.com/3038/1891?lock=5280832622787410,"2025-05-11 10:59:15.951 +00:00","2025-05-11 10:59:15.951 +00:00"
6,1,"Mona Gutmann MD",LM,1.51081551512367,98,24,318,https://picsum.photos/seed/VSXpfhd/1466/3744,https://picsum.photos/seed/ZdmYfOS1kQ/3354/233,https://picsum.photos/seed/Zc1nZrorX8/1245/3944,"2025-05-11 10:59:15.971 +00:00","2025-05-11 10:59:15.971 +00:00"
7,1,"Lillian Harvey",RB,6.46652867564458,64,23,103,https://loremflickr.com/2199/2519?lock=8411520586831211,https://picsum.photos/seed/TjD3Dm/1786/1354,https://loremflickr.com/2798/57?lock=2893667379407535,"2025-05-11 10:59:15.989 +00:00","2025-05-11 10:59:15.989 +00:00"
8,1,"Eloise Abshire",RW,2.90748836640203,68,30,294,https://picsum.photos/seed/XP5GL9mGM6/675/3353,https://picsum.photos/seed/DDJeJGri/3275/2361,https://picsum.photos/seed/q9omWLDlXN/732/3583,"2025-05-11 10:59:16.002 +00:00","2025-05-11 10:59:16.002 +00:00"
9,1,"Sadie Dicki",ST,9.24571142932636,57,36,6,https://loremflickr.com/2384/3532?lock=1003826080220834,https://picsum.photos/seed/VJFvS/3369/2635,https://loremflickr.com/3958/3721?lock=7316154425807145,"2025-05-11 10:59:16.015 +00:00","2025-05-11 10:59:16.015 +00:00"
10,1,"Ruben Erdman",RM,6.53749452061981,5,37,461,https://picsum.photos/seed/aW2V0RJN/185/3179,https://picsum.photos/seed/E0zZnn6C/383/730,https://loremflickr.com/3603/969?lock=2867705104374058,"2025-05-11 10:59:16.031 +00:00","2025-05-11 10:59:16.031 +00:00"
11,1,"Janet Hand",CF,4.89562016604014,72,39,277,https://loremflickr.com/649/3159?lock=1209976234088330,https://picsum.photos/seed/Ia2YOE/1998/1427,https://picsum.photos/seed/MNrJwx6Cju/181/1986,"2025-05-11 10:59:16.053 +00:00","2025-05-11 10:59:16.053 +00:00"
12,1,"Ellen Wuckert",GK,5.30311069980489,38,39,163,https://picsum.photos/seed/7FY54naj/2943/1400,https://picsum.photos/seed/JGe4oc/2264/3419,https://picsum.photos/seed/2Yuj79CR7A/2430/1364,"2025-05-11 10:59:16.071 +00:00","2025-05-11 10:59:16.071 +00:00"
13,1,"Juana Fahey",RW,4.4155600780566,49,36,227,https://loremflickr.com/2739/537?lock=7096154898437827,https://loremflickr.com/2457/3388?lock=7894287288968839,https://loremflickr.com/112/3234?lock=6352334300378081,"2025-05-11 10:59:16.088 +00:00","2025-05-11 10:59:16.088 +00:00"
14,1,"Bernice Bayer",RB,6.74528488139179,57,17,288,https://loremflickr.com/3935/649?lock=3637184098960663,https://loremflickr.com/447/2821?lock=758293102917703,https://loremflickr.com/2786/2307?lock=552052786408417,"2025-05-11 10:59:16.107 +00:00","2025-05-11 10:59:16.107 +00:00"
15,1,"Glenn Lakin V",RM,6.55972266087612,17,36,347,https://loremflickr.com/3165/2454?lock=4991388654363330,https://loremflickr.com/3047/907?lock=3915658882959467,https://picsum.photos/seed/TzfCGBO/1506/1743,"2025-05-11 10:59:16.126 +00:00","2025-05-11 10:59:16.126 +00:00"
16,1,"Freda Koch",CB,5.35437238680841,14,28,429,https://loremflickr.com/2564/942?lock=5230985019624619,https://loremflickr.com/3790/2926?lock=3649430749172991,https://picsum.photos/seed/owzi50qy/2787/1471,"2025-05-11 10:59:16.143 +00:00","2025-05-11 10:59:16.143 +00:00"
17,1,"Omar Stroman",RM,8.51251173892474,10,24,139,https://picsum.photos/seed/tUCzyhSpC/1209/2074,https://picsum.photos/seed/Te4Ffww3/2190/3656,https://picsum.photos/seed/ojA8ffJfc/10/1070,"2025-05-11 10:59:16.162 +00:00","2025-05-11 10:59:16.162 +00:00"
18,1,"Felipe Feeney IV",CF,2.72574351473943,90,35,43,https://picsum.photos/seed/YR6zaCoLP/2496/2049,https://loremflickr.com/957/2982?lock=4667939857599810,https://picsum.photos/seed/28Pnl4/3621/1215,"2025-05-11 10:59:16.180 +00:00","2025-05-11 10:59:16.180 +00:00"
19,1,"Ellis Brekke Jr.",CB,8.78105533139188,84,28,282,https://loremflickr.com/1038/2569?lock=7360019716574282,https://loremflickr.com/544/1749?lock=59816795724638,https://loremflickr.com/3073/704?lock=5593257760660151,"2025-05-11 10:59:16.196 +00:00","2025-05-11 10:59:16.196 +00:00"
20,1,"Jamie Murphy",RM,5.9408249819244,66,39,265,https://picsum.photos/seed/V6qvK5Lt/2997/3511,https://picsum.photos/seed/muSrKN/789/3341,https://loremflickr.com/491/3059?lock=16256788313861,"2025-05-11 10:59:16.215 +00:00","2025-05-11 10:59:16.215 +00:00"
