id,name,description,created_at,updated_at
1,ST,Striker,"2025-05-11 10:56:52.693 +00:00","2025-05-11 10:56:52.693 +00:00"
2,CF,"Center Forward","2025-05-11 10:56:52.693 +00:00","2025-05-11 10:56:52.693 +00:00"
3,LW,"Left Winger","2025-05-11 10:56:52.693 +00:00","2025-05-11 10:56:52.693 +00:00"
4,RW,"Right Winger","2025-05-11 10:56:52.693 +00:00","2025-05-11 10:56:52.693 +00:00"
5,CAM,"Central Attacking Midfielder","2025-05-11 10:56:52.693 +00:00","2025-05-11 10:56:52.693 +00:00"
6,CM,"Central Midfielder","2025-05-11 10:56:52.693 +00:00","2025-05-11 10:56:52.693 +00:00"
7,CDM,"Central Defensive Midfielder","2025-05-11 10:56:52.693 +00:00","2025-05-11 10:56:52.693 +00:00"
8,CB,"Center Back","2025-05-11 10:56:52.693 +00:00","2025-05-11 10:56:52.693 +00:00"
9,LB,"Left Back","2025-05-11 10:56:52.693 +00:00","2025-05-11 10:56:52.693 +00:00"
10,RB,"Right Back","2025-05-11 10:56:52.693 +00:00","2025-05-11 10:56:52.693 +00:00"
11,GK,Goalkeeper,"2025-05-11 10:56:52.693 +00:00","2025-05-11 10:56:52.693 +00:00"
12,LM,,"2025-05-11 10:59:15.841 +00:00","2025-05-11 10:59:15.841 +00:00"
13,RM,,"2025-05-11 10:59:15.874 +00:00","2025-05-11 10:59:15.874 +00:00"
